ID,meaning,semantic tag,Etymon ID,Etymon,pS root,Part of Speech,language,script,transliteration,Sem normalization,IPA singular,gender,f markedness,pS pattern,Sem normalization pl,IPA plural,pS plural pattern,PS plural suffix,deptotic,"Tag (popularity) insert word. rate, archaic, wanderwort, borrowed. ambiguous. no derivation [for primary nouns] primary nouns [divide with commas], deptotic",Donor language (in cases of borrowing),Donor word (in the original language),data source,Notes
PN45,this,,ETYMON55,,,pronoun,Hebrew,זה,zh,zê,ze,M,TRUE,,,,,,,,,,,
PN46,this,,ETYMON55,,,pronoun,Arabic,هذا,hḏʼ,hāḏā,ha:ða:,,,,,,,,,,,,,
ETYMON54,,,,hannij-,,pronoun,Proto-Semitic,,,,,,,,,,,,,,,,,
ETYMON55,,,,ða:,,pronoun,Proto-Semitic,,,,,,,,,,,,,,,,,
N143,fish,AN_FI,ETYMON56,,,noun,Akkadian,,,nūnum,nu:num,M,FALSE,qūl,only logographic,,,,,,,,,
N144,fish,AN_FI,ETYMON56,,,noun,Syriac,ܢܘܢ,nwn,nun,nun,M,FALSE,,nunē,nune:,same,*u:,,,,,,
N145,fish,AN_FI,,,,noun,Ethiopic,ዓሣ,ˤāśā,ˤāśā,ʕa:ɬa:,,,,,,,,,,,,,
N146,fish,AN_FI,ETYMON57,,,noun,Hebrew,דג,dg,dāg,da:g,M,FALSE,*qal,dāgîm,da:gi:m,same,*u:,,,,,,
N147,fish,AN_FI,,,,noun,Arabic,سمك,smk,samak,samak,M,FALSE,*qatal,"simāk, ʼasmāk","sima:k, ʔasma:k","*qita:l, ʔaqta:l",,,,,,,
ETYMON56,,AN_FI,,nu:n,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
ETYMON57,,AN_FI,,dag,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
AV1,yesterday,TI_YD,ETYMON58,,,adverb,Akkadian,,,amšāli,amʃa:li,,,,,,,,,,,,,
AV2,yesterday,TI_YD,ETYMON58,,,adverb,Syriac,ܐܬܡܠܝ,ʼtmly,etmāl,ʔetma:l,,,,,,,,,,,,,
AV3,yesterday,TI_YD,ETYMON58,,,adverb,Ethiopic,ትማልም,təmāləmə,təmāləm,tɨma:lɨm,,,,,,,,,,,,,
AV4,yesterday,TI_YD,ETYMON58,,,adverb,Hebrew,תמול,tmwl,təmôl,təmo:l,,,,,,,,,,,,,
AV5,yesterday,TI_YD,,,,adverb,Arabic,أمس,ʼms,ʼams,ʔams,,,,,,,,,,,,,
ETYMON58,,TI_YD,,tima:l-,,adverb,Proto-Semitic,,,,,,,,,,,,,,,,,
A16,black,SP_BK,ETYMON59,,,Adjective,Akkadian,,,ṣalmum,s'almum,,,qatl,,,,,,,,,,
A17,black,SP_BK,,,,Adjective,Syriac,ܐܘܟܡ,ʼwkm,ukkām,ukka:m,,,,,,,,,,,,,
A18,black,SP_BK,ETYMON59,,,Adjective,Ethiopic,ጸሊም,ṣalimə,ṣallim,s’allim,,,,,,,,,,,,,
A19,black,SP_BK,,,,Adjective,Hebrew,שחור,šḥwr,šāḥōr,ʃa:ħo:r,,,qatull,,,*qatul,,,,,,,
A20,black,SP_BK,,,,Adjective,Arabic,أسود,ʼswd,ʼaswad,ʔaswad,,,,,,,,,,,,,
ETYMON59,,SP_BK,,θ’alim-,,adjective,Proto-Semitic,,,,,,,,,,,,,,,,,
N148,navel,BP_NV,,,,noun,Akkadian,,,abunnatum,abunnatum,F,TRUE,qatull-at?,NA,NA,NA,NA,,,,,,
N149,navel,BP_NV,,,,noun,Syriac,ܟܢܘܫܪ,knwšr,knušer,knuʃer,M,FALSE,,,,,,,,,,,
N150,navel,BP_NV,ETYMON60,,,noun,Syriac,ܫܘܪ,šwr,šur,ʃur,M,FALSE,,,,,,,,,,,
N151,navel,BP_NV,,,,noun,Ethiopic,ሕንብርት,ḥənəbərətə,ḥənbərt,ħɨnbɨrt,,TRUE,,,,,,,,,,,
N152,navel,BP_NV,ETYMON60,,,noun,Hebrew,שר,šr,šōr,ʃo:r,M,FALSE,*qutl,NA,NA,NA,NA,,,,,,
N153,navel,BP_NV,ETYMON60,,,noun,Arabic,سرة,srh,surra,surra,F,TRUE,,"surrāt, surar","surra:t, surar",*qutal,*a:t,,,,,,
ETYMON60,,BP_NV,,surr,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
N154,back,BP_BA,ETYMON61,,,noun,Akkadian,,,ṣērum,s'e:rum,M,FALSE,"qil, qīl?","ṣērū, ṣērān","s'e:ru:, s'e:ra:n",same,"u:, a:n",,,,,,
N155,back,BP_BA,,,,noun,Syriac,ܓܦܦ,gpp,gpāp,gpa:p,M,FALSE,,gpāpē,gpa:pe:,same,*u:,,,,,,
N156,back,BP_BA,,,,noun,Ethiopic,ዘባን,zabānə,zabān,zaba:n,,FALSE,*qata:l,zabānāt,zaba:na:t,same,*a:t,,,,,,
N157,back,BP_BA,,,,noun,Hebrew,,gab?,,,,,,,,,,,,,,,
N158,back,BP_BA,,,,noun,Arabic,ظهر,ẓhr,ẓahr,ðˤahr,M,FALSE,*qatl,"ẓuhūr, ʼaẓhur","ðˤuhu:r, ʔaðˤhur","*qutu:l, ʔaqtul",,,,,,,
ETYMON61,,BP_BA,,θ’ahr-,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
N159,wind,PW_WI,,,,noun,Akkadian,,,šeh̬u,ʃexu,M,FALSE,qil?,NA,NA,NA,NA,,,,,,
N160,wind,PW_WI,ETYMON62,,,noun,Syriac,ܪܘܚ,rwḥ,ruḥ,ruħ,F,FALSE,,ruḥē,ruħe:,same,*u:,,,,,,
N161,wind,PW_WI,,,,noun,Ethiopic,ነፋስ,nafāsə,nafās,nafa:s,,FALSE,*qata:l,,,,,,,,,,
N162,wind,PW_WI,ETYMON62,,,noun,Hebrew,רוח,,rûaḥ,ru:aħ,BOTH,FALSE,*qu:l,rûḥōt,ru:ħo:t,same,*a:t,,,,,,
N163,wind,PW_WI,ETYMON62,,,noun,Arabic,ريح,ryḥ,rīḥ,ri:ħ,F,FALSE,,"riyāḥ, ʼarwāḥ, ʼaryāḥ","rija:ħ, ʔarwa:ħ, ʔarja:ħ","*qita:l, ʔaqta:l",,,,,,,
ETYMON62,,PW_WI,,ru:ħ,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
ETYMON63,,PW_WI,,,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
N164,smoke,PW_SM,ETYMON64,,,noun,Akkadian,,,qutrum,k'utrum,M,FALSE,qutl,NA,NA,NA,NA,,,,,,
N165,smoke,PW_SM,ETYMON65,,,noun,Syriac,ܬܢܢ,tnn,tennān,tenna:n,M,FALSE,,,,,,,,,,,
N166,smoke,PW_SM,,,,noun,Ethiopic,ጢስ,ṭisə,ṭis,t’is,,FALSE,,,,,,,,,,,
N167,smoke,PW_SM,ETYMON65,,,noun,Ethiopic,ተን,tannə,tann,tann,,FALSE,,,,,,,,,,,
N168,smoke,PW_SM,,,,noun,Hebrew,עשן,ʕšn,ˤāšān,ʕa:ʃa:n,M,FALSE,*qatal,NA,NA,NA,NA,,,,,,
N169,smoke,PW_SM,,,,noun,Arabic,دخان,dḫʼn,"duḫān, duḫḫān","duxa:n, duxxa:n",M,FALSE,"*quta:l, qutta:l","ʼadḫina, dawāḫin, dawāḫīn","ʔadxina, dawa:xin, dawa:xi:n","*ʔaqtila, qawa:til, qawa:ti:l",,,,,,,
ETYMON64,,PW_SM,,k’ut’ur-,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
ETYMON65,,PW_SM,,,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
IN1,what,,ETYMON67,,,interrogative,Akkadian,,,mīnum,mi:num,,,,,,,,,,,,,
IN2,what,,ETYMON66,,,interrogative,Syriac,ܡܐ,mʼ,mā,ma:,,,,,,,,,,,,,
IN3,what,,ETYMON67,,,interrogative,Ethiopic,ምንት,mənətə,mənt,mɨnt,,,,,,,,,,,,,
IN4,what,,ETYMON66,,,interrogative,Hebrew,מה,mh,mā,ma:,,,,,,,,,,,,,
IN5,what,,ETYMON66,,,interrogative,Arabic,ما,mʼ,mā,ma:,,,,,,,,,,,,,
ETYMON66,,,,ma:,,interrogative,Proto-Semitic,,,,,,,,,,,,,,,,,
ETYMON67,,,,min-,,interrogative,Proto-Semitic,,,,,,,,,,,,,,,,,
N170,child (m),MK_CH,,,,noun,Akkadian,,,ṣeh̬rum,s'exrum,M,FALSE,"qitl, or qatl from ṣaḫru?",,,,,,,,,,should we create plurals for adj used substantively like this?
N171,child (m),MK_CH,ETYMON69,,,noun,Syriac,ܒܪ,br,bar,br,M,FALSE,*qal,bnayyā,bnajja:,,,,,,,,
N172,child (m),MK_CH,ETYMON68,,,noun,Ethiopic,ወልድ,walədə,wald,wald,M,,*qatl,wəlud,wɨlud,*qutu:l/qitu:l,,,,,,,
N173,child (m),MK_CH,ETYMON68,,,noun,Hebrew,ילד,yld,yeled,yeled,M,FALSE,*qatl,yĕlādîm,yəla:di:m,*qatal,*u:,,,,,,
N174,child (m),MK_CH,ETYMON68,,,noun,Arabic,ولد,wld,walad,walad,M,FALSE,*qatal,"ʼawlād, wilda, ʼilda, wuld","ʔawla:d, wilda, ʔilda, wuld","ʔaqta:l, qitla, qutl",,,,,,,
ETYMON68,,MK_CH,,wald,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
ETYMON69,,MK_CH,,bin,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
N175,child (f),MK_CH,,,,noun,Akkadian,,,,,,,,,,,,,,,,,
N176,child (f),MK_CH,,,,noun,Syriac,,,,,,,,,,,,,,,,,
N177,child (f),MK_CH,,,,noun,Ethiopic,,,,,,,,,,,,,,,,,
N178,child (f),MK_CH,,,,noun,Hebrew,ילדה,yldh,yaldâ,yalda:,F,TRUE,*qatlat,yĕlādōt,yəla:do:t,*qatal,*a:t,,,,,,
N179,child (f),MK_CH,,,,noun,Arabic,,,,,,,,,,,,,,,,,
ETYMON70,,MK_CH,,,,,,,,,,,,,,,,,,,,,,
ETYMON71,,MK_CH,,,,,,,,,,,,,,,,,,,,,,
N180,egg,BP_EG,,,,noun,Akkadian,,,pelû,pelu:,M,FALSE,"qatul?, qitul?",pelû,pelu:,same,u:,,,,,,
N181,egg,BP_EG,ETYMON72,,,noun,Syriac,"ܒܝܥܐ, ܒܥܐ","byˤʼ, bˤʼ",bêˤā,be:ʕa:,F,TRUE,,"bêˤē, bêˤātā","be:ʕe:, be:ʕa:ta:",same,"*u:, *a:t",,,,,,
N182,egg,BP_EG,,,,noun,Ethiopic,"አንቆቅሆ, እንቆቅሆ, አንቆቍሆ, እንቆቍሆ, አንቆቅሖ, እንቆቅሖ","ʼanqoqəho, ʼənqoqəho, ʼanqoqʷəho, ʼənqoqʷəho, ʼanqoqəḥo, ʼənqoqəḥo",ʼanqoqəho,ʔank’ok’ɨho,,FALSE,,,,,,,borrowed,cushitic?,"Oromo: (h)anqāqū; Saho: unqāqoho, ənqʷalaləḥ; Hadiya: qunqa; Somali: ugah",,
N183,egg,BP_EG,ETYMON72,,,noun,Hebrew,ביצה,byṣh,bêṣâ,be:s'a:,F,TRUE,*qatlat,bêṣîm,be:s'i:m,*qatl,*u:,,,,,,
N184,egg,BP_EG,ETYMON72,,,noun,Arabic,بيضة,byḍh,bayḍa,bajdˤa,F,TRUE,*qatla,bayḍāt,bajdˤa:t,same,*a:t,,,,,,
ETYMON72,,BP_EG,,bajɬ’-at-,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
A21,new,TI_NW,ETYMON73,,,Adjective,Akkadian,,,eššum,eʃʃum,,,,,,,,,,,,,
A22,new,TI_NW,ETYMON73,,,Adjective,Syriac,ܚܕܬ,ḥdt,ḥaddet,ħaddet,,,,,,,,,,,,,
A23,new,TI_NW,ETYMON73,,,Adjective,Ethiopic,ሐዲስ,ḥadisə,ḥaddis,ħaddis,,,,,,,,,,,,,
A24,new,TI_NW,ETYMON73,,,Adjective,Hebrew,חדש,ḥdš,ḥādāš,ħa:da:ʃ,,,*qatal,,,,,,,,,,
A25,new,TI_NW,ETYMON73,,,Adjective,Arabic,حديث,ḥdyṯ,ḥadīṯ,ħadi:θ,,,,,,,,,,,,,
ETYMON73,,TI_NW,,ħadiθ-,,adjective,Proto-Semitic,,,,,,,,,,,,,,,,,
NG1,not ,,ETYMON74,,,negation,Akkadian,,,"ulā, lā","ula:, la:",,,,,,,,,,,,,
NG2,not ,,ETYMON74,,,negation,Syriac,ܠܐ,lʼ,lā,la:,,,,,,,,,,,,,
NG3,not ,,,,,negation,Ethiopic,ኢ,ʼi-,ʼi-,ʔi=,,,,,,,,,,,,,
NG4,not ,,ETYMON74,,,negation,Hebrew,"לא, אל","lˀ, ˀl","lô, ʔal","lo:, ʔal",,,,,,,,,,,,,
NG5,not ,,ETYMON74,,,negation,Arabic,"لا, لم","lʼ, lm","lā, lam","la:, lam",,,,,,,,,,,,,
ETYMON74,,,,,,negation,Proto-Semitic,,,,,,,,,,,,,,,,,
A26,good,EM_GD,,,,Adjective,Akkadian,,,damqum,damk'um,,,,,,,,,,,,,
A27,good,EM_GD,ETYMON75,,,Adjective,Syriac,ܛܒ,ṭb,ṭāb,t'a:b,,,,,,,,,,,,,
A28,good,EM_GD,ETYMON76,,,Adjective,Ethiopic,ኄር,ḫerə,ḫer ,xer,,,,,,,,,,,,,
A29,good,EM_GD,ETYMON75,,,Adjective,Hebrew,טוב,ṭwb,ṭôb,t'o:b,,,,,,,,,,,,,
A30,good,EM_GD,ETYMON75,,,Adjective,Arabic,طيب,ṭyb,ṭayyib,tˤajjib,,,,,,,,,,,,,
A31,good,EM_GD,,,,Adjective,Arabic,جيد,ǧyd,ǧayyid,d͡ʒayyid,,,,,,,,,,,,,
A32,good,EM_GD,,,,Adjective,Arabic,خير,ḫyr,ḫayyir,xajjir,,,,,,,,,,,,,
ETYMON75,,EM_GD,,t’a:b-,,adjective,Proto-Semitic,,,,,,,,,,,,,,,,,
ETYMON76,,EM_GD,,xayr,,adjective,Proto-Semitic,,,,,,,,,,,,,,,,,
N185,knee,BP_KN,ETYMON77,,,noun,Akkadian,,,birkum,birkum,M,FASE,qitl,birkū,birku:,same,u:,,,,,,
N186,knee,BP_KN,ETYMON77,,,noun,Syriac,ܒܪܘܟ,brwk,bruk,bruk,F,FALSE,,burkē,burke:,,*u:,,,,,,
N187,knee,BP_KN,ETYMON77,,,noun,Ethiopic,ብርክ,bərəkə,bərk,bɨrk,,FALSE,*qutl/qitl,"bərak, ʼabrāk","bɨrak, ʔabra:k","*qutal/qital, ʔaqta:l",,,,,,,
N188,knee,BP_KN,ETYMON77,,,noun,Hebrew,ברך,brk,berek,berek,F,FALSE,*qitl,birkayim,birkayim,same,*a:,,,,,,
N189,knee,BP_KN,ETYMON77??,,,noun,Arabic,ركبة,rkbh,rukba,rukba,F,TRUE,*qutla,"rukab, rukbāt","rukab, rukba:t",*qutal,*a:t,,,,,,
ETYMON77,,BP_KN,,birk/burk,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
N190,sand,PW_SA,ETYMON79,,,noun,Akkadian,,,baṣṣum,bas's'um,M,FALSE,qatl,NA,NA,NA,NA,,,,,,
N191,sand,PW_SA,ETYMON78,,,noun,Syriac,ܚܠ,ḥl,ḥāl,ħa:l,M,FALSE,,,,,,,,,,,
N192,sand,PW_SA,,,,noun,Ethiopic,"ኆጻ, ኆፃ","ḫoṣā, ḫoḍā",ḫoṣā,xos'a:,,FALSE,,,,,,,,,,,
N193,sand,PW_SA,ETYMON78,,,noun,Hebrew,חול,ḥwl,ḥôl,,M,FALSE,*qāl/qawl?,NA,NA,NA,NA,,,,,,
N194,sand,PW_SA,,,,noun,Arabic,رمل,rml,raml,raml,M,FALSE,*qatl,"rimāl, ʼarmul","rima:l, ʔarmul","*qita:l, ʔaqtul",,,,,,,
ETYMON78,,PW_SA,,ħa:l,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
ETYMON79,,PW_SA,,baɬ’ɬ’,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
N195,earth/land,PW_EL,ETYMON80,,,noun,Akkadian,,,mātum,ma:tum,F,FALSE?,qāl?,mātātum,ma:ta:tum,same,a:t,,,,,,
N196,earth/land,PW_EL,ETYMON81,,,noun,Syriac,ܐܪܥ,ʼrˤ,ʼaraˤ,ʔaraʕ,F,FALSE,*qatl,ʼarˤātā,ʔarʕa:ta:,same,*a:t,,,,,,
N197,earth/land,PW_EL,,,,noun,Ethiopic,ምድር,mədərə,mədr,mɨdr,,FALSE,*qutl/qitl,"mədrāt, ʼamdār, ʼamdārāt","mɨdra:t, ʔamda:r, ʔamda:ra:t",*ʔaqta:l,*a:t,,,,,,
N198,earth/land,PW_EL,ETYMON81,,,noun,Hebrew,ארץ,ˀrṣ,ʔereṣ,ʔeres',F,FALSE,*qatl,ˀărāṣôt,ʔara:s'o:t,*qatal,*a:t,,,,,,
N199,earth/land,PW_EL,ETYMON81,,,noun,Arabic,أرض,ʼrḍ,ʼarḍ,ʔardˤ,F,FALSE,*qatl,"ʼarāḍin, ʼaraḍūn","ʔara:dˤin, ʔaradˤu:n","*qata:lin, qatal",*u:,,,,,,
ETYMON80,,PW_EL,,ma:t,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
ETYMON81,,PW_EL,,ˀarɬ’,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
N200,leaf,AV_LE,,,,noun,Akkadian,,,ḫasḫaltu?,,,,,,,,,,,,,,
N201,leaf,AV_LE,,,,noun,Syriac,ܛܪܦ,ṭrp,ṭrap,t'rap,M,FALSE,*qatl,ṭarpē,t'arpe:,same,*u:,,,,,,
N202,leaf,AV_LE,,,,noun,Ethiopic,ቈጽል,qʷaṣələ,qʷaṣl,k'ʷas'l,,FALSE,*qatl,"qʷaṣlāt, ʼaqʷṣəl","k'ʷas'la:t, ʔak'ʷs'ɨl",*ʔaqtul/ʔaqtil,*a:t,,,,,,
N203,leaf,AV_LE,,,,noun,Hebrew,עלה,ʕlh,ˤālê,ʕa:le:,M,FALSE,*qatil,ʕālîm,ʕa:li:m,*qal,*u:,,,,,,
N204,leaf,AV_LE,,,,noun,Arabic,ورقة,wrqh,waraqa,waraqa,,,*qatala,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
A33,red,SP_RD,ETYMON82,,,Adjective,Akkadian,,,sāmum,sa:mum,,,,,,,,,,,,,
A34,red,SP_RD,,,,Adjective,Syriac,,,šqārā,,,,,,,,,,,,,,
A35,red,SP_RD,,,,Adjective,Ethiopic,"ቀይሕ, ቀዪሕ","qayəḥə, qayiḥə","qayyəḥ, qayyiḥ","k'ayyɨħ, k'ayyiħ",,,,,,,,,,,,,
A36,red,SP_RD,ETYMON83,,,Adjective,Ethiopic,አዳማዊ,ʼadāmāwi,ʼaddāmāwi,ʔadda:ma:wi,,,,,,,,,,,,,
A37,red,SP_RD,ETYMON83,,,Adjective,Hebrew,אדום,ˀdwm,ˀādōm,ʔa:do:m,,,*qatul,,,,,,,,,,
A38,red,SP_RD,,,,Adjective,Arabic,أحمر,ʼḥmr,ʼaḥmar,ʔaħmar,,,,,,,,,,,,,
ETYMON82,,SP_RD,,sa:m,,Adjective,Proto-Semitic,,,,,,,,,,,,,,,,,
ETYMON83,,SP_RD,,ʔadumm,,Adjective,Proto-Semitic,,,,,,,,,,,,,,,,,
N205,liver,BP_LV,,,,noun,Akkadian,,,amūtum,amu:tum,F,FALSE?,qatūl?,NA,NA,NA,NA,,,,,,
N206,liver,BP_LV,ETYMON84,,,noun,Syriac,ܟܒܕ,kbd,kbed,kbed,F,FALSE,,kabdātā,kabda:ta:,,*a:t,,,,,,
N207,liver,BP_LV,ETYMON84,,,noun,Ethiopic,ከብድ,kabədə,kabd,kabd,,,*qatl,,,,,,,,,,
N208,liver,BP_LV,ETYMON84,,,noun,Hebrew,כבד,kbd,kābēd,ka:be:d,M,FALSE,*qatil,NA,NA,NA,NA,,,,,,
N209,liver,BP_LV,ETYMON84,,,noun,Arabic,كبد,kbd,"kabid, kabd, kibd","kabid, kabd, kibd",,FALSE,"*qatil, qatl, qitl","ʼakbād, kubūd","ʔakba:d, kubu:d","*ʔaqta:l, qutu:l",,,,,,,
ETYMON84,,BP_LV,,kabid,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
N210,skin/hide,BP_SH,ETYMON85,,,noun,Akkadian,,,maškum,maʃkum,M,FALSE,qatl,maškū,maʃku:,same,*u:,,,,,,
N211,skin/hide,BP_SH,ETYMON86,,,noun,Syriac,ܓܠܕ,gld,gled,gld,M,FALSE,,geldē,gelde:,,*u:,,,,,,
N212,skin/hide,BP_SH,ETYMON86,,,noun,Ethiopic,ገልድ,galədə,gald,gald,,,*qatl,,,,,,,,,,
N213,skin/hide,BP_SH,,,,noun,Hebrew,עור,ʕwr,ˤôr,ʕo:r,M,FALSE,*qutl/qūl,ʕōrōt,ʕo:ro:t,same,*a:t,,,,,,
N214,skin/hide,BP_SH,ETYMON87??,,,noun,Arabic,جلد,ǧld,ǧild,d͡ʒild,M,FALSE,*qitl,"ǧulūd, ʼaǧlād","d͡ʒulu:d, ʔad͡ʒla:d","*qutu:l, ʔaqta:l",,,,,,,
ETYMON85,,BP_SH,,mask,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
ETYMON86,,BP_SH,,galid,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
